project_id,project_name,description,tags,difficulty,tech_stack,github_link,popularity_score
1,AI Chatbot,Build an intelligent chatbot using NLP and deep learning for customer support automation,AI;NLP;Chatbot;Deep Learning,Intermediate,Python;TensorFlow;Flask,https://github.com/gunthercox/ChatterBot,0.88
2,Personal Portfolio Website,Create a responsive personal portfolio website with animations and contact form,Web Development;Portfolio;Frontend,Beginner,HTML;CSS;JavaScript;React,https://github.com/ashutosh1919/masterPortfolio,0.75
3,E-Commerce Platform,Full-stack e-commerce application with payment integration and inventory management,Web Development;E-Commerce;Full Stack,Advanced,React;Node.js;MongoDB;Stripe,https://github.com/adrianhajdin/ecommerce_sanity_stripe,0.92
4,Weather Dashboard,Real-time weather dashboard with data visualization and location-based forecasts,API;Data Visualization;Dashboard,Beginner,Python;Flask;Chart.js;OpenWeatherAPI,https://github.com/robertoduessmann/weather-app,0.65
5,Blockchain Wallet,Decentralized cryptocurrency wallet with transaction history and multi-chain support,Blockchain;Cryptocurrency;Security,Advanced,Solidity;Web3.js;React;Ethereum,https://github.com/AuroraWallet/AuroraWallet,0.82
6,Image Classification App,Deep learning image classifier that identifies objects in uploaded photos,AI;Computer Vision;Deep Learning,Intermediate,Python;PyTorch;FastAPI;React,https://github.com/pytorch/vision,0.85
7,Task Management API,RESTful API for task management with authentication and role-based access control,Backend;API;Authentication,Intermediate,Python;FastAPI;PostgreSQL;JWT,https://github.com/tiangolo/full-stack-fastapi-template,0.70
8,Real-Time Chat Application,WebSocket-based chat app with rooms and direct messaging and file sharing,Web Development;Real-Time;WebSocket,Intermediate,Node.js;Socket.io;React;MongoDB,https://github.com/adrianhajdin/project_chat_application,0.78
9,Stock Price Predictor,Machine learning model to predict stock prices using historical data and sentiment analysis,AI;ML;Finance;Data Science,Advanced,Python;scikit-learn;Pandas;Matplotlib,https://github.com/huseinzol05/Stock-Prediction-Models,0.80
10,URL Shortener,Simple URL shortening service with analytics and click tracking dashboard,Web Development;Backend;API,Beginner,Python;Flask;SQLite;HTML,https://github.com/chubin/awesome-url-shortener,0.60
11,Social Media Dashboard,Analytics dashboard for social media metrics with data aggregation and reporting,Data Visualization;Analytics;Dashboard,Intermediate,React;D3.js;Node.js;Express,https://github.com/mrdoob/three.js,0.73
12,Recommendation Engine,Content-based recommendation system for movies using collaborative filtering,AI;ML;Recommender System,Advanced,Python;scikit-learn;Pandas;Flask,https://github.com/microsoft/recommenders,0.87
13,Blog Platform,Full-featured blogging platform with markdown support and comment system,Web Development;CMS;Full Stack,Intermediate,React;Node.js;Express;MongoDB,https://github.com/gothinkster/realworld,0.72
14,Fitness Tracker,Mobile-responsive fitness tracking app with workout logs and progress charts,Health;Mobile;Data Visualization,Beginner,React;Firebase;Chart.js;CSS,https://github.com/nickskinz/fitness-tracker,0.68
15,Code Snippet Manager,Developer tool to save and organize code snippets with syntax highlighting and search,Developer Tools;Productivity;Frontend,Beginner,React;LocalStorage;Prism.js;CSS,https://github.com/nicehash/NiceHashQuickMiner,0.62
16,Sentiment Analysis Tool,NLP tool that analyzes sentiment of text reviews and social media posts,AI;NLP;Data Science;Analytics,Intermediate,Python;NLTK;Flask;React,https://github.com/cjhutto/vaderSentiment,0.79
17,NFT Marketplace,Decentralized marketplace for creating and trading NFTs with auction system,Blockchain;NFT;Web3;E-Commerce,Advanced,Solidity;React;IPFS;Ethereum;Web3.js,https://github.com/dabit3/polygon-ethereum-nextjs-marketplace,0.90
18,Quiz Application,Interactive quiz app with timer and scoring and leaderboard system,Web Development;Education;Gaming,Beginner,HTML;CSS;JavaScript;Firebase,https://github.com/prabhakar267/quiz-app,0.58
19,Autonomous Drone Controller,Software for autonomous drone navigation using computer vision and path planning,AI;Robotics;Computer Vision;IoT,Advanced,Python;OpenCV;ROS;C++,https://github.com/ArduPilot/ardupilot,0.83
20,Recipe Finder App,Search and discover recipes by ingredients with nutritional information display,Web Development;API;Food,Beginner,React;Spoonacular API;CSS;Axios,https://github.com/tomkiernan120/Recipe-App,0.64
21,Data Pipeline Framework,ETL pipeline framework for processing large-scale data with scheduling and monitoring,Data Engineering;Big Data;Backend,Advanced,Python;Apache Airflow;PostgreSQL;Docker,https://github.com/apache/airflow,0.81
22,Music Player,Web-based music player with playlist management and audio visualization,Web Development;Media;Frontend,Intermediate,React;Web Audio API;CSS;Node.js,https://github.com/Developer-Mike/web-music-player,0.67
23,Face Recognition System,Real-time face detection and recognition system with attendance tracking,AI;Computer Vision;Security,Intermediate,Python;OpenCV;dlib;Flask,https://github.com/ageitgey/face_recognition,0.84
24,Budget Tracker,Personal finance tracker with expense categorization and monthly reports,Web Development;Finance;Dashboard,Beginner,React;Chart.js;LocalStorage;CSS,https://github.com/bradtraversy/expense-tracker-react,0.63
25,Microservices Architecture,E-learning platform built with microservices architecture and API gateway,Backend;Microservices;Architecture,Advanced,Python;FastAPI;Docker;Kubernetes;RabbitMQ,https://github.com/GoogleCloudPlatform/microservices-demo,0.86
26,Language Translation App,Neural machine translation application supporting multiple language pairs,AI;NLP;Deep Learning;Translation,Advanced,Python;Transformers;PyTorch;FastAPI,https://github.com/huggingface/transformers,0.82
27,Event Management System,Platform for creating and managing events with ticketing and RSVP features,Web Development;Full Stack;E-Commerce,Intermediate,React;Node.js;Express;PostgreSQL;Stripe,https://github.com/fossasia/open-event-server,0.71
28,CLI Task Runner,Command-line task runner and automation tool with plugin support,Developer Tools;CLI;Automation,Intermediate,Python;Click;YAML;Pytest,https://github.com/pydoit/doit,0.59
29,IoT Home Automation,Smart home automation system with sensor monitoring and remote control dashboard,IoT;Home Automation;Dashboard,Intermediate,Python;MQTT;Raspberry Pi;React;Flask,https://github.com/home-assistant/core,0.76
30,GraphQL API Server,Production-ready GraphQL server with schema stitching and real-time subscriptions,Backend;API;GraphQL,Intermediate,Node.js;Apollo Server;PostgreSQL;TypeScript,https://github.com/apollographql/apollo-server,0.74
31,Markdown Editor,Live markdown editor with preview and export to PDF and collaboration features,Web Development;Editor;Productivity,Beginner,React;Marked.js;CSS;HTML,https://github.com/nhn/tui.editor,0.61
32,Object Detection System,Real-time object detection in video streams using YOLO with alert system,AI;Computer Vision;Deep Learning;Security,Advanced,Python;YOLO;OpenCV;TensorFlow;Flask,https://github.com/ultralytics/yolov5,0.89
33,Job Board Platform,Job listing platform with search filters and application tracking system,Web Development;Full Stack;HR,Intermediate,React;Node.js;MongoDB;Express;Elasticsearch,https://github.com/jobly/jobly,0.69
34,Password Manager,Secure password manager with encryption and browser extension integration,Security;Cryptography;Developer Tools,Intermediate,Python;Cryptography;Flask;React;SQLite,https://github.com/bitwarden/server,0.77
35,Game Engine 2D,Lightweight 2D game engine with physics and sprite animation system,Game Development;Graphics;Engine,Advanced,C++;SDL2;OpenGL;Lua,https://github.com/love2d/love,0.80
36,Landing Page Generator,Drag-and-drop landing page builder with template library and export feature,Web Development;No-Code;Frontend,Beginner,React;DnD Kit;CSS;HTML,https://github.com/react-dnd/react-dnd,0.56
37,Fraud Detection System,ML system for detecting fraudulent transactions using anomaly detection algorithms,AI;ML;Finance;Security,Advanced,Python;scikit-learn;XGBoost;Pandas;FastAPI,https://github.com/Fraud-Detection-Handbook/fraud-detection-handbook,0.88
38,Video Streaming Platform,Video hosting and streaming platform with adaptive bitrate and comment system,Web Development;Media;Full Stack,Advanced,React;Node.js;FFmpeg;AWS S3;HLS,https://github.com/nicknisi/video-stream-sample,0.85
39,Todo App with AI Priority,Smart todo application that uses AI to auto-prioritize tasks based on context,AI;Productivity;Web Development,Beginner,Python;Flask;React;scikit-learn;SQLite,https://github.com/todoist/todoist-python,0.66
40,API Rate Limiter,Middleware library for API rate limiting with multiple strategies and Redis backend,Backend;Security;Infrastructure,Intermediate,Python;Redis;FastAPI;Docker,https://github.com/long2ice/fastapi-limiter,0.72
41,Gesture Recognition,Hand gesture recognition system for touchless interface control,AI;Computer Vision;HCI,Advanced,Python;MediaPipe;OpenCV;TensorFlow,https://github.com/google-ai-edge/mediapipe,0.81
42,Static Site Generator,Fast static site generator with templating and hot reload and plugin system,Developer Tools;Web Development;CLI,Intermediate,Python;Jinja2;Markdown;YAML;Click,https://github.com/getpelican/pelican,0.68
43,Expense Splitting App,Group expense splitting calculator with balance tracking and payment reminders,Web Development;Finance;Mobile,Beginner,React;Firebase;CSS;JavaScript,https://github.com/nicknisi/splitwise-clone,0.63
44,DeFi Lending Protocol,Decentralized lending and borrowing protocol with interest rate algorithms,Blockchain;DeFi;Finance;Web3,Advanced,Solidity;Hardhat;React;Ethers.js;TypeScript,https://github.com/aave/aave-v3-core,0.87
45,Email Newsletter Tool,Automated email newsletter creation and distribution platform with analytics,Web Development;Marketing;Automation,Intermediate,Python;FastAPI;SendGrid;React;PostgreSQL,https://github.com/listmonk/listmonk,0.65
46,Search Engine,Basic search engine with web crawler and inverted index and ranking algorithm,Backend;Search;Data Engineering,Advanced,Python;Elasticsearch;Scrapy;Flask;Redis,https://github.com/scrapy/scrapy,0.83
47,Habit Tracker,Daily habit tracking app with streak counting and motivational insights,Web Development;Productivity;Health,Beginner,React;LocalStorage;CSS;Chart.js,https://github.com/iSoron/uhabits,0.60
48,Voice Assistant,Voice-controlled virtual assistant with speech recognition and task execution,AI;NLP;Voice;IoT,Advanced,Python;SpeechRecognition;pyttsx3;spaCy;FastAPI,https://github.com/MycroftAI/mycroft-core,0.84
49,CI/CD Pipeline Tool,Continuous integration and deployment tool with Docker support and webhook triggers,DevOps;Automation;Infrastructure,Advanced,Python;Docker;GitHub API;FastAPI;Redis,https://github.com/drone/drone,0.79
50,Photo Gallery,Responsive photo gallery with upload and album management and image optimization,Web Development;Media;Frontend,Beginner,React;Cloudinary;CSS Grid;Lightbox,https://github.com/neptunian/react-photo-gallery,0.57
51,Text Summarizer,Automatic text summarization tool using extractive and abstractive methods,AI;NLP;Productivity,Intermediate,Python;Transformers;spaCy;FastAPI;React,https://github.com/huggingface/transformers,0.78
52,Inventory Management System,Warehouse inventory system with barcode scanning and stock alerts and reporting,Web Development;Business;Full Stack,Intermediate,React;Node.js;PostgreSQL;Express;Chart.js,https://github.com/inventree/InvenTree,0.70
53,Smart Contract Auditor,Automated security analysis tool for Solidity smart contracts,Blockchain;Security;Developer Tools,Advanced,Python;Solidity;Slither;Flask;React,https://github.com/crytic/slither,0.85
54,Pomodoro Timer,Productivity timer with task integration and statistics and notification support,Web Development;Productivity;Frontend,Beginner,React;CSS;JavaScript;Notifications API,https://github.com/mehulkundu/Pomodoro-Clock,0.55
55,Anomaly Detection Dashboard,Real-time anomaly detection in time-series data with interactive visualizations,AI;ML;Data Science;Dashboard,Intermediate,Python;scikit-learn;Plotly;FastAPI;Pandas,https://github.com/yzhao062/pyod,0.76
